,Model_type,mape,mse,me,mae,mpe,rmse,R2 score,Adj R2 score,AIC,BIC
450,ensemble_of_ensembles_lstm3,10.881564958719125,0.003313971645517488,-0.00818977299580742,0.041014735482861005,3.3566587664041056e-05,0.057567105585720466,0.6181346393001323,-0.05012974192463604,-933.0176623565862,-487.8523607711629
445,stacked_ensemble_lstm2,10.891048953324574,0.0032732085785607394,-0.0031899857418145224,0.04057753200791635,0.01187494299749333,0.05721196184855698,0.6228317233224795,-0.03721276086318137,-935.6167572778927,-490.4514556924694
444,stacked_ensemble_lstm1,10.902379856939973,0.0033475089668845767,-0.007734555719506719,0.040936754238468036,0.002322766298658515,0.057857661263523055,0.6142701701100977,-0.0607570321972315,-930.9031483615265,-485.7378467761032
442,ensemble_lstm_outlier_removed,10.98673028387675,0.0033307709697474063,-0.007377639061990784,0.04124319670629881,0.0030375106770867636,0.05771283193317935,0.6161988713779025,-0.05545310371076817,-931.9558106614634,-486.79050907604005
446,stacked_ensemble_lstm3,10.992787905258423,0.0032737841932262124,-0.0037245180674229128,0.04097401081485105,0.010237528875298363,0.057216992172135474,0.6227653958684856,-0.037395161361664764,-935.5798306814311,-490.41452909600775
449,ensemble_of_ensembles_lstm2,11.00316570302442,0.003296718366017472,-0.006856055845459848,0.04119427757459505,0.0016426562410254313,0.057417056403280306,0.6201227159960935,-0.04466253101074291,-934.113825363866,-488.9485237784427
448,ensemble_of_ensembles_lstm1,11.03640058643833,0.0032885331726251474,-0.005891218998245376,0.041268795123215296,0.0038004845071486536,0.05734573369157594,0.6210658869587617,-0.04206881086340508,-934.6358681400607,-489.47056655463734
447,stacked_ensemble_lstm4,11.199462223969352,0.0032996649700686195,-0.00011938186308937975,0.041116914232905644,0.019012972425767664,0.05744271033010733,0.6197831820051032,-0.0455962494859663,-933.9262113759057,-488.7609097904824
443,ensemble_lstm_with_auto_encoder,11.44119292429834,0.003490231866683202,-0.006452765851855824,0.04292780245033226,0.009862734352025185,0.059078184354998606,0.5978243650636208,-0.10598299607504269,-922.1352925812216,-476.9699909957983
293,random_forest_Outliers_Removed_shuffled_default_model,11.697544486601709,0.004136365381502131,-0.013268672404585511,0.04425054696579738,-0.009543514352177856,0.06431458140656852,0.48100877031897915,0.44516252922989963,-1913.1937960001817,-1824.00587301925
438,cnn_lstm_encoder_decoder_outlier_removed,11.704836724873756,0.003954538183642168,-0.009998346940035457,0.044962750358826006,-0.004986370809004696,0.0628851189363761,0.5443228514219504,-0.25311215858963654,-895.9072049844242,-450.7419033990009
290,bagging_Outliers_Removed_shuffled_default_model,11.759515721260522,0.0041640281129916076,-0.013640381936531469,0.04466478122049216,-0.0106413418130967,0.06452928105125307,0.4775379175997627,0.44145194794449105,-1910.8142385223475,-1821.6263155414158
230,bagging_Outliers_Removed_default_model,11.815070159015754,0.004205440919362222,-0.01332954484831712,0.04478426053115698,-0.009810316928548425,0.06484937100205539,0.47234183811439034,0.4358969800862551,-1907.281280224359,-1818.0933572434274
233,random_forest_Outliers_Removed_default_model,11.878525136126498,0.004131121619355058,-0.012771274973866417,0.04479334989684972,-0.007843766458274401,0.06427380196748173,0.48166670701311987,0.445865908999011,-1913.6466599326784,-1824.4587369517467
248,CategoricalGradientBoosting_Outliers_Removed_default_model,11.991476310767913,0.004347698569748619,-0.01247408499819489,0.04538560034937984,-0.007304216997688002,0.0659370803853842,0.45449272032713217,0.41681504034972694,-1895.4047838770682,-1806.2168608961365
234,random_forest_Outliers_Removed_rscv_model,12.102028132643206,0.004409146574835537,-0.015045605691568344,0.045848426377877866,-0.012177938520704031,0.06640140491612762,0.4467828173615669,0.4085726215637172,-1890.394463944592,-1801.2065409636602
358,extra_trees_regressor_OutliersRemoved_extra_features_shuffled_crosscv_model,12.128559483173378,0.003950589180231638,0.00182212615527761,0.04307996283256181,3.487158884907447,0.06269945035438132,0.4721100118837918,,,
239,gradient_boosting_regressor_Outliers_Removed_default_model,12.205760351046875,0.004710396401285299,-0.017621854703517965,0.04726971000460224,-0.021841531864950615,0.06863232766914801,0.40898489492233137,0.3681640318088587,-1866.8000069922707,-1777.612084011339
350,bagging_OutliersRemoved_extra_features_shuffled_default_model,12.209037563134215,0.00418358746538273,-0.005161275791632782,0.04488844589449947,0.015016195014648168,0.06468065758310385,0.4750837987265536,0.4285315973903764,-1897.1412574137235,-1784.686919742114
299,gradient_boosting_regressor_Outliers_Removed_shuffled_default_model,12.213194548866902,0.0046815722498478405,-0.01750897323573637,0.04727427759916882,-0.02155516923060516,0.06842201582712863,0.41260147141384185,0.372030401871855,-1868.9912950497771,-1779.8033720688454
246,LightGradientBoosting_Outliers_Removed_rscv_model,12.250635783384785,0.004420940279604912,-0.016397507014068127,0.04659171846656094,-0.017115341039044402,0.06649015174899899,0.4453030570463574,0.4069906555810908,-1889.4408255091628,-1800.252902528231
306,LightGradientBoosting_Outliers_Removed_shuffled_rscv_model,12.250635783384785,0.004420940279604912,-0.016397507014068127,0.04659171846656094,-0.017115341039044402,0.06649015174899899,0.4453030570463574,0.4069906555810908,-1889.4408255091628,-1800.252902528231
353,random_forest_OutliersRemoved_extra_features_shuffled_default_model,12.262066411698523,0.004227681091485899,-0.004917909856824071,0.04507758209204814,0.015554531137758176,0.06502062050984979,0.46955135583968544,0.42250850972149234,-1893.3982860390302,-1780.9439483674207
441,ensemble_lstm,12.30529725636531,0.004261921881290219,-0.004516293850733884,0.04560318742361688,0.016153534293095843,0.06528339667396466,0.5059576808729178,-0.33644781199761975,-891.1034358138795,-444.6774612825019
